iter	Passed	Remaining
0	1	1171
1	1	759
2	1	633
3	2	595
4	2	549
5	3	522
6	3	491
7	3	467
8	4	464
9	4	456
10	4	449
11	5	439
12	5	425
13	5	415
14	6	405
15	6	399
16	6	399
17	7	396
18	7	394
19	7	390
20	8	384
21	8	378
22	8	374
23	9	372
24	9	371
25	9	368
26	10	367
27	10	367
28	10	365
29	11	364
30	11	362
31	11	361
32	12	360
33	12	359
34	13	359
35	13	358
36	13	358
37	14	355
38	14	353
39	14	350
40	14	347
41	15	348
42	15	348
43	15	347
44	16	349
45	16	347
46	17	345
47	17	343
48	17	343
49	17	340
50	18	339
51	18	338
52	18	336
53	19	336
54	19	335
55	19	336
56	20	334
57	20	334
58	20	334
59	21	334
60	21	334
61	22	333
62	22	332
63	22	331
64	23	331
65	23	331
66	23	330
67	24	331
68	24	331
69	24	330
70	25	329
71	25	328
72	25	328
73	26	326
74	26	326
75	26	325
76	27	324
77	27	324
78	27	324
79	28	323
80	28	323
81	28	322
82	28	319
83	29	318
84	29	318
85	29	317
86	30	316
87	30	315
88	30	314
89	31	314
90	31	313
91	31	312
92	32	312
93	32	311
94	32	311
95	32	310
96	33	309
97	33	309
98	34	310
99	34	309
100	34	308
101	34	307
102	35	307
103	35	307
104	36	307
105	36	306
106	36	306
107	36	305
108	37	304
109	37	303
110	37	303
111	38	302
112	38	301
113	38	301
114	39	301
115	39	300
116	39	298
117	39	298
118	40	298
119	40	297
120	40	297
121	41	296
122	41	296
123	41	295
124	42	295
125	42	295
126	42	294
127	43	293
128	43	293
129	43	293
130	44	292
131	44	293
132	44	293
133	45	292
134	45	292
135	45	291
136	46	290
137	46	290
138	46	290
139	47	289
140	47	289
141	47	288
142	48	287
143	48	287
144	48	287
145	49	287
146	49	286
147	49	286
148	49	285
149	50	285
150	50	284
151	50	284
152	51	284
153	51	284
154	52	283
155	52	283
156	52	283
157	53	282
158	53	282
159	53	282
160	53	281
161	54	280
162	54	280
163	54	279
164	55	279
165	55	278
166	55	278
167	56	277
168	56	277
169	56	277
170	57	276
171	57	276
172	57	275
173	58	275
174	58	275
175	58	274
176	58	274
177	59	274
178	59	273
179	60	273
180	60	273
181	60	273
182	61	272
183	61	271
184	61	271
185	61	270
186	62	270
187	62	270
188	62	269
189	63	269
190	63	268
191	63	268
192	64	267
193	64	267
194	64	266
195	64	266
196	65	266
197	65	266
198	66	265
199	66	265
200	66	265
201	66	264
202	67	263
203	67	263
204	67	263
205	68	262
206	68	262
207	68	261
208	68	260
209	69	260
210	69	260
211	69	259
212	70	259
213	70	259
214	70	258
215	71	258
216	71	257
217	71	257
218	71	256
219	72	256
220	72	255
221	72	254
222	73	254
223	73	254
224	73	253
225	74	253
226	74	253
227	74	253
228	75	252
229	75	251
230	75	251
231	75	251
232	76	250
233	76	250
234	76	250
235	77	249
236	77	249
237	77	248
238	78	248
239	78	247
240	78	247
241	78	247
242	79	247
243	79	246
244	79	246
245	80	245
246	80	245
247	81	245
248	81	245
249	81	244
250	81	244
251	82	243
252	82	243
253	82	243
254	83	242
255	83	242
256	83	242
257	84	241
258	84	241
259	84	240
260	84	240
261	85	240
262	85	239
263	85	239
264	86	238
265	86	238
266	86	237
267	86	237
268	87	237
269	87	236
270	87	236
271	88	235
272	88	235
273	88	235
274	89	234
275	89	234
276	89	234
277	90	234
278	90	233
279	90	233
280	91	233
281	91	232
282	91	232
283	91	231
284	92	231
285	92	231
286	92	230
287	93	230
288	93	229
289	93	229
290	94	229
291	94	228
292	94	228
293	94	227
294	95	227
295	95	227
296	95	226
297	96	226
298	96	225
299	96	225
300	96	225
301	97	224
302	97	224
303	98	224
304	98	224
305	98	223
306	99	223
307	99	223
308	99	222
309	99	222
310	100	221
311	100	221
312	100	221
313	101	221
314	101	220
315	101	220
316	102	220
317	102	219
318	102	219
319	103	219
320	103	218
321	103	218
322	103	217
323	104	217
324	104	217
325	104	216
326	105	216
327	105	216
328	105	216
329	106	215
330	106	215
331	107	215
332	107	215
333	107	214
334	107	214
335	108	213
336	108	213
337	108	213
338	109	212
339	109	212
340	109	212
341	110	211
342	110	211
343	110	211
344	110	210
345	111	210
346	111	209
347	111	209
348	112	209
349	112	208
350	112	208
351	112	207
352	113	207
353	113	207
354	113	206
355	114	206
356	114	206
357	114	205
358	115	205
359	115	204
360	115	204
361	115	204
362	116	203
363	116	203
364	116	203
365	117	203
366	117	202
367	117	202
368	118	201
369	118	201
370	118	201
371	118	200
372	119	200
373	119	199
374	119	199
375	120	199
376	120	199
377	120	198
378	120	198
379	121	197
380	121	197
381	121	197
382	122	196
383	122	196
384	123	196
385	123	196
386	123	195
387	123	195
388	124	195
389	124	195
390	125	194
391	125	194
392	125	194
393	125	193
394	126	193
395	126	193
396	126	192
397	127	192
398	127	191
399	127	191
400	128	191
401	128	191
402	128	191
403	129	190
404	129	190
405	130	190
406	130	190
407	131	190
408	131	189
409	131	189
410	132	189
411	132	188
412	132	188
413	133	188
414	133	188
415	133	187
416	134	187
417	134	187
418	134	186
419	134	186
420	135	185
421	135	185
422	135	185
423	135	184
424	136	184
425	136	184
426	136	183
427	137	183
428	137	182
429	137	182
430	137	182
431	138	181
432	138	181
433	139	181
434	139	180
435	139	180
436	139	180
437	140	179
438	140	179
439	140	179
440	141	178
441	141	178
442	141	178
443	142	178
444	142	177
445	142	177
446	143	177
447	143	176
448	143	176
449	144	176
450	144	175
451	144	175
452	145	175
453	145	175
